n1,n2,n3,n4,n5,n6
04,12,13,22,27,32
04,14,17,29,31,38
01,04,15,16,31,34
03,13,22,26,28,33
10,16,19,21,31,37
08,11,13,27,29,37
07,10,13,22,25,29
02,10,15,18,25,35
03,17,20,21,24,37
04,07,15,31,33,36
06,18,21,32,33,37
06,07,08,13,14,24
02,03,11,18,30,36
01,17,21,23,31,34
05,06,15,19,32,37
07,15,16,23,24,35
01,07,08,24,26,34
12,15,20,23,26,32
05,09,15,17,18,29
13,16,17,20,27,31
03,04,13,16,24,25
01,02,03,12,18,28
01,03,12,18,31,38
03,17,22,24,25,33
07,08,21,26,32,35
02,06,07,09,12,20
02,09,15,21,29,36
13,21,24,25,31,36
09,16,20,23,29,34
01,05,09,20,29,38
01,02,03,05,17,27
05,09,20,29,35,36
07,17,25,29,36,37
02,14,17,19,29,32
14,19,20,25,27,30
07,08,09,11,19,35
05,08,09,17,31,37
02,08,26,34,35,38
01,02,08,21,23,26
10,15,22,27,29,37
06,12,21,25,34,38
13,14,17,23,24,37
05,06,09,20,22,35
01,05,16,18,21,31
12,16,20,22,34,35
03,07,09,19,24,31
05,12,13,15,26,38
04,11,12,18,21,26
01,07,20,21,36,38
06,11,20,31,32,33
01,07,15,23,26,38
01,03,09,15,22,27
11,14,20,27,30,38
07,09,14,23,37,38
01,02,07,14,28,31
03,06,19,22,37,38
01,04,06,21,25,28
10,18,20,24,36,38
03,04,07,10,33,38
12,16,18,22,24,36
04,09,18,20,29,31
15,16,22,27,30,32
02,04,07,08,18,25
03,05,09,16,18,19
01,11,14,17,19,36
02,05,08,17,20,26
02,04,11,12,16,19
01,12,14,21,36,37
09,13,14,17,23,30
02,07,16,18,28,29
06,07,09,11,21,38
07,08,14,15,25,36
11,18,21,27,31,35
04,16,20,33,34,38
10,20,25,28,32,36
10,11,14,22,31,33
08,12,14,24,28,35
12,16,17,20,27,36
03,05,12,24,27,30
05,06,09,14,15,37
01,06,11,20,34,35
04,06,08,18,24,28
08,09,13,16,26,35
08,12,19,22,24,32
05,09,11,21,32,35
01,11,16,20,27,36
13,14,17,20,21,24
04,18,20,30,32,35
11,18,20,25,29,37
06,12,28,29,31,32
02,09,11,15,26,34
17,18,19,28,34,36
03,08,17,20,31,35
07,09,19,20,33,34
04,09,16,26,33,35
05,07,08,11,32,37
03,06,07,10,29,33
05,14,15,20,32,37
05,06,11,15,22,37
19,26,28,31,32,34
05,16,21,25,32,34
06,12,21,22,28,34
01,03,09,11,18,32
07,14,22,23,31,35
11,14,19,25,34,37
07,17,25,26,27,33
01,09,14,17,33,38
08,10,16,26,31,38
10,16,20,23,35,37
11,17,29,30,34,35
03,08,12,26,32,38
05,10,15,17,23,25
01,12,14,15,27,29
07,22,28,34,36,37
13,14,16,33,34,37

